symbol,yf_ticker,roe,roce,debt_eq,netinc_cagr,trailing_pe,market_cap,sector,sector_pe_avg,pe_valuation_flag,s_roe,s_roce,s_debt_eq,s_netinc_cagr,s_pe_val,quality_score
HONASA,HONASA.NS,-1.2431092533667236,7.366473046378136,0.5172855411372825,66.61500855988453,126.83036,92437561344.0,Fast Moving Consumer Goods,53.197095983333334,0,0.0,0.1436415002612083,0.9535048460914582,0.7449801746196321,0,0.3279321369029472
RAMCOCEM,RAMCOCEM.NS,6.6295883793541215,7.091325834327675,1.1941941430825005,-32.37130408332055,74.08012,235961565184.0,Construction Materials,53.96048288888889,1,0.21440017919389054,0.1340516935925951,0.866113887195182,0.0,1,0.3277500602355933
AKUMS,AKUMS.NS,-4.2008530638743995,12.396261346424822,0.34267764412648993,,19.744509,67441459200.0,Healthcare,58.63961940816326,1,0.0,0.3189465561330965,0.9760472565539424,,1,0.3261437275163655
JMFINANCIL,JMFINANCIL.NS,6.077820946363027,,1.3952123318133611,2.034234620425801,15.409879,170043899904.0,Financial Services,39.25075387065217,1,0.19908098879052638,,0.8401618277616038,0.1846484576059372,1,0.3226782623225859
PNB,PNB.NS,7.300362309719811,,12.886474995699592,68.53084912842546,7.722867,1300311572480.0,Financial Services,39.25075387065217,1,0.2330234486050281,,0.0,0.7616028653960137,1,0.32222760766071123
BAJAJFINSV,BAJAJFINSV.NS,7.4750453077448356,,4.078331609883128,24.870504525892258,34.15776,3214202372096.0,Financial Services,39.25075387065217,1,0.23787332184323173,,0.4937629699693106,0.38278616246394487,1,0.32198367454115506
SJVN,SJVN.NS,7.5358764488485,5.277461806041341,2.2463341992464723,-6.9601012331725105,50.23464,353367162880.0,Power,36.544590211111114,1,0.23956222875817823,0.07083242553318346,0.7302794065324693,0.10660957165252404,1,0.32044060032112454
PFC,PFC.NS,14.569919745933479,,6.592953843708652,17.93857948229998,5.429619,1320040660992.0,Financial Services,39.25075387065217,1,0.43485437927422976,,0.16911759296508452,0.3226416763429282,1,0.3203522879956172
BDL,BDL.NS,14.50508041200666,7.030057237002765,1.9290667024399502,3.2110117174465547,97.732025,548120920064.0,Capital Goods,60.8815871171875,0,0.43305418947928714,0.13191627670494285,0.7712396051366335,0.19485870271594738,0,0.31755300733370634
THELEELA,THELEELA.NS,4.22522249683737,8.421088807628367,1.2929793386274795,,108.88608,143686598656.0,Consumer Services,215.50412475,1,0.14764571607895477,0.18039841007938687,0.8533604180582502,,1,0.3173973800522707
BANKBARODA,BANKBARODA.NS,13.023917969487893,,11.600816207339427,38.193212669878676,6.9598722,1354379821056.0,Financial Services,39.25075387065217,1,0.39193141180418084,,0.0,0.4983799448579193,1,0.3172554125128381
AMBER,AMBER.NS,7.756420405815121,9.494818819776768,2.648024919165893,30.65839690608709,101.95521,289592147968.0,Consumer Durables,63.08538357894737,0,0.24568537896073392,0.21782151589265766,0.6784199131051207,0.43300450884556824,0,0.31652488139626633
INDIANB,INDIANB.NS,12.541638593548777,,11.258534961284582,39.57307196267765,9.338244,1024703528960.0,Financial Services,39.25075387065217,1,0.3785414776654869,,0.0,0.510352222048282,1,0.3156328877093025
SBIN,SBIN.NS,14.268088940251108,,13.481740237753401,29.913474259585037,9.645426,7922177802240.0,Financial Services,39.25075387065217,1,0.4264743928789042,,0.0,0.42654122635303915,1,0.3132505631342791
